INFO  22:06:48,958 | org.apache.james.container.spring.context.JamesServerApplicationContext | Refreshing org.apache.james.container.spring.context.JamesServerApplicationContext@5e235c57: startup date [Mon Sep 10 22:06:48 CST 2018]; root of context hierarchy
INFO  22:07:39,659 | org.apache.james.container.spring.context.JamesServerApplicationContext | Bean 'logprovider' of type [class org.apache.james.container.spring.lifecycle.LogProviderImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO  22:08:04,349 | james.mailrepositorystore | JamesMailStore init...
INFO  22:08:05,316 | james.mailrepositorystore | Registering Repository instance of class org.apache.james.mailrepository.file.FileMailRepository to handle file protocol requests for repositories with key file
INFO  22:08:05,316 | james.mailrepositorystore | Registering Repository instance of class org.apache.james.mailrepository.jdbc.JDBCMailRepository to handle db protocol requests for repositories with key db
INFO  22:08:05,316 | james.mailrepositorystore | Registering Repository instance of class org.apache.james.mailrepository.jdbc.JDBCMailRepository to handle dbfile protocol requests for repositories with key dbfile
INFO  22:08:05,316 | james.mailrepositorystore | Registering Repository instance of class org.apache.james.mailrepository.file.MBoxMailRepository to handle mbox protocol requests for repositories with key mbox
INFO  22:08:08,067 | james.dnsservice | Autodiscovery is enabled - trying to discover your system's DNS Servers
INFO  22:08:08,114 | james.dnsservice | Adding autodiscovered server 172.20.10.1
INFO  22:08:08,129 | james.dnsservice | DNS Server is: 172.20.10.1
INFO  22:08:08,270 | james.dnsservice | Registered cache, resolver and search paths as DNSJava defaults
INFO  22:08:37,168 | james.domainlist | Set autodetect to: true
INFO  22:08:37,168 | james.domainlist | Set autodetectIP to: true
ERROR 22:08:48,859 | org.apache.activemq.broker.BrokerService | Memory Usage for the Broker (1024 mb) is more than the maximum available for the JVM: 455 mb - resetting to 70% of maximum available: 318 mb
WARN  22:08:48,859 | org.apache.activemq.broker.BrokerService | Store limit is 102400 mb (current store usage is 9 mb). The data directory: F:\james\james-server-app-3.0.1\bin\KahaDB only has 97706 mb of usable space - resetting to maximum available disk space: 97716 mb
WARN  22:08:50,359 | james.mailetcontext | The specified postmaster address ( postmaster@localhost ) is not a local address.  This is not necessarily a problem, but it does mean that emails addressed to the postmaster will be routed to another server.  For some configurations this may cause problems.
