FATAL  | wrapper  | 2018/08/02 21:21:30 | OpenSCManager failed - 拒绝访问。 (0x5)
FATAL  | wrapper  | 2018/08/02 21:25:04 | OpenSCManager failed - 拒绝访问。 (0x5)
STATUS | wrapper  | 2018/08/02 22:20:46 | Apache James :: Server :: App installed.
ERROR  | wrapper  | 2018/08/02 22:20:49 | CreateService failed - 指定的服务已存在。 (0x431)
STATUS | wrapper  | 2018/08/02 22:31:22 | Starting the Apache James :: Server :: App service...
STATUS | wrapper  | 2018/08/02 22:31:22 | --> Wrapper Started as Service
STATUS | wrapper  | 2018/08/02 22:31:22 | Launching a JVM...
INFO   | jvm 1    | 2018/08/02 22:31:23 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2018/08/02 22:31:23 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2018/08/02 22:31:23 | 
INFO   | jvm 1    | 2018/08/02 22:31:24 | INFO  22:31:24,062 | org.apache.james.container.spring.context.JamesServerApplicationContext | Refreshing org.apache.james.container.spring.context.JamesServerApplicationContext@751dcabc: startup date [Thu Aug 02 22:31:24 CST 2018]; root of context hierarchy
STATUS | wrapper  | 2018/08/02 22:31:27 | Apache James :: Server :: App started.
INFO   | jvm 1    | 2018/08/02 22:31:28 | log4j:WARN No appenders could be found for logger (org.apache.commons.configuration.ConfigurationUtils).
INFO   | jvm 1    | 2018/08/02 22:31:28 | log4j:WARN Please initialize the log4j system properly.
INFO   | jvm 1    | 2018/08/02 22:31:28 | log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
INFO   | jvm 1    | 2018/08/02 22:31:28 | INFO  22:31:28,514 | org.apache.james.container.spring.context.JamesServerApplicationContext | Bean 'logprovider' of type [class org.apache.james.container.spring.lifecycle.LogProviderImpl] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
INFO   | jvm 1    | 2018/08/02 22:31:28 | 28  James  WARN   [WrapperSimpleAppMain] openjpa.Runtime - An error occurred while registering a ClassTransformer with PersistenceUnitInfo: name 'James', root URL [file:/F:/james/james-server-app-3.0.1/conf]. The error has been consumed. To see it, set your openjpa.Runtime log level to TRACE. Load-time class transformation will not be available.
INFO   | jvm 1    | 2018/08/02 22:31:29 | INFO  22:31:28,994 | james.mailrepositorystore | JamesMailStore init...
INFO   | jvm 1    | 2018/08/02 22:31:29 | INFO  22:31:29,015 | james.mailrepositorystore | Registering Repository instance of class org.apache.james.mailrepository.file.FileMailRepository to handle file protocol requests for repositories with key file
INFO   | jvm 1    | 2018/08/02 22:31:29 | INFO  22:31:29,016 | james.mailrepositorystore | Registering Repository instance of class org.apache.james.mailrepository.jdbc.JDBCMailRepository to handle db protocol requests for repositories with key db
INFO   | jvm 1    | 2018/08/02 22:31:29 | INFO  22:31:29,016 | james.mailrepositorystore | Registering Repository instance of class org.apache.james.mailrepository.jdbc.JDBCMailRepository to handle dbfile protocol requests for repositories with key dbfile
INFO   | jvm 1    | 2018/08/02 22:31:29 | INFO  22:31:29,017 | james.mailrepositorystore | Registering Repository instance of class org.apache.james.mailrepository.file.MBoxMailRepository to handle mbox protocol requests for repositories with key mbox
INFO   | jvm 1    | 2018/08/02 22:31:29 | INFO  22:31:29,189 | james.dnsservice | Autodiscovery is enabled - trying to discover your system's DNS Servers
INFO   | jvm 1    | 2018/08/02 22:31:29 | INFO  22:31:29,196 | james.dnsservice | Adding autodiscovered server 172.20.10.1
INFO   | jvm 1    | 2018/08/02 22:31:29 | INFO  22:31:29,197 | james.dnsservice | DNS Server is: 172.20.10.1
INFO   | jvm 1    | 2018/08/02 22:31:29 | INFO  22:31:29,209 | james.dnsservice | Registered cache, resolver and search paths as DNSJava defaults
